dist_km,lat,lon,elevation_m,elevation_raw_m,slope_rad,slope_deg,bearing_deg,segment_km
6.8,-26.784045,27.789627,1496.58,1500.55,-0.007042,-0.4035,309.14,0.1
6.9,-26.783591,27.789002,1494.96,1495.5,-0.021794,-1.2487,309.14,0.1
7.0,-26.783138,27.788378,1492.22,1490.28,-0.018523,-1.0613,309.14,0.1
7.1,-26.782684,27.787753,1491.25,1491.19,0.006519,0.3735,309.14,0.1
7.2,-26.78223,27.787128,1493.53,1492.46,0.029953,1.7162,309.14,0.1
7.3,-26.781776,27.786504,1497.25,1499.74,0.029795,1.7071,309.14,0.1
7.4,-26.781322,27.785879,1499.49,1498.16,0.010597,0.6071,309.14,0.1
7.5,-26.780869,27.785254,1499.37,1501.09,-0.005289,-0.303,309.14,0.1
7.6,-26.780415,27.78463,1498.43,1495.7,-0.005106,-0.2926,309.14,0.1
7.7,-26.779961,27.784005,1498.34,1498.82,0.003207,0.1838,309.14,0.1
7.8,-26.779508,27.783381,1499.07,1501.34,0.005422,0.3107,309.14,0.1
7.9,-26.779054,27.782756,1499.43,1496.86,-0.001754,-0.1005,309.14,0.1
8.0,-26.7786,27.782131,1498.72,1500.88,-0.010344,-0.5926,309.14,0.1
8.1,-26.778146,27.781507,1497.36,1495.47,-0.012218,-0.7,309.14,0.1
8.2,-26.777692,27.780882,1496.28,1497.15,-0.00632,-0.3621,309.14,0.1
8.3,-26.777239,27.780258,1496.1,1497.24,0.002606,0.1493,309.14,0.1
8.4,-26.776785,27.779633,1496.8,1493.36,0.009207,0.5275,309.14,0.1
8.5,-26.776331,27.779008,1497.94,1501.95,0.011901,0.6819,309.14,0.1
8.6,-26.775878,27.778384,1499.18,1497.35,0.012803,0.7336,309.14,0.1
8.7,-26.775424,27.777759,1500.5,1499.94,0.013123,0.7519,309.14,0.1
8.8,-26.77497,27.777135,1501.8,1502.46,0.010741,0.6154,309.14,0.1
8.9,-26.774516,27.77651,1502.65,1502.47,0.003978,0.2279,309.13,0.1
9.0,-26.774063,27.775885,1502.6,1503.74,-0.005301,-0.3037,309.13,0.1
9.1,-26.773609,27.775261,1501.59,1500.1,-0.014528,-0.8324,309.13,0.1
9.2,-26.773155,27.774636,1499.69,1498.65,-0.022259,-1.2754,309.13,0.1
9.3,-26.772701,27.774012,1497.13,1500.54,-0.024628,-1.4111,309.13,0.1
9.4,-26.772248,27.773387,1494.77,1492.68,-0.015902,-0.9111,309.13,0.1
9.5,-26.771794,27.772762,1493.95,1494.05,0.002341,0.1341,309.13,0.1
9.6,-26.77134,27.772138,1495.23,1494.85,0.017941,1.0279,309.13,0.1
9.7,-26.770886,27.771513,1497.54,1496.64,0.021044,1.2057,309.13,0.1
9.8,-26.770432,27.770888,1499.44,1503.8,0.016335,0.9359,309.13,0.1
9.9,-26.769979,27.770264,1500.81,1497.44,0.014684,0.8413,309.13,0.1
10.0,-26.769525,27.769639,1502.38,1500.24,0.015987,0.916,309.13,0.1
10.1,-26.769071,27.769015,1504.01,1508.79,0.010293,0.5898,309.13,0.1
10.2,-26.768618,27.76839,1504.44,1500.68,-0.004683,-0.2683,309.13,0.1
10.3,-26.768164,27.767765,1503.07,1506.31,-0.01723,-0.9872,309.13,0.1
10.4,-26.76771,27.767141,1500.99,1498.12,-0.015763,-0.9032,309.13,0.1
10.5,-26.767256,27.766516,1499.92,1501.92,-0.003072,-0.176,309.13,0.1
10.6,-26.766802,27.765892,1500.38,1498.36,0.007767,0.445,309.13,0.1
10.7,-26.766349,27.765267,1501.47,1501.58,0.009365,0.5366,309.13,0.1
10.8,-26.765895,27.764642,1502.25,1507.63,0.006305,0.3612,309.13,0.1
10.9,-26.765441,27.764018,1502.73,1494.95,0.004175,0.2392,309.13,0.1
11.0,-26.764988,27.763393,1503.09,1505.92,0.000539,0.0309,309.13,0.1
11.1,-26.764534,27.762769,1502.84,1505.09,-0.006948,-0.3981,309.13,0.1
11.2,-26.76408,27.762144,1501.7,1501.08,-0.011426,-0.6547,309.13,0.1
11.3,-26.763626,27.761519,1500.55,1496.98,-0.004555,-0.261,309.13,0.1
11.4,-26.763173,27.760895,1500.79,1504.72,0.011634,0.6666,309.13,0.1
11.5,-26.762719,27.76027,1502.88,1501.86,0.025703,1.4727,309.13,0.1
11.6,-26.762265,27.759646,1505.93,1505.82,0.025757,1.4757,309.13,0.1
11.7,-26.761811,27.759021,1508.03,1504.92,0.008468,0.4852,309.13,0.1
11.8,-26.761358,27.758396,1507.62,1512.97,-0.014269,-0.8175,309.13,0.1
11.9,-26.760904,27.757772,1505.18,1503.91,-0.021567,-1.2357,309.13,0.1
12.0,-26.76045,27.757147,1503.31,1500.13,-0.004959,-0.2842,309.13,0.1
12.1,-26.759996,27.756523,1504.19,1506.29,0.02008,1.1505,309.13,0.1
12.2,-26.759543,27.755898,1507.32,1506.64,0.030859,1.7681,309.13,0.1
12.3,-26.759089,27.755273,1510.36,1512.48,0.020831,1.1935,309.13,0.1
12.4,-26.758635,27.754649,1511.49,1510.0,0.000355,0.0203,309.13,0.1
12.5,-26.758181,27.754024,1510.43,1507.75,-0.018421,-1.0555,309.13,0.1
12.6,-26.757728,27.7534,1507.81,1513.42,-0.029063,-1.6652,309.13,0.1
12.7,-26.757274,27.752775,1504.62,1500.3,-0.028326,-1.623,309.13,0.1
12.8,-26.75682,27.75215,1502.14,1503.18,-0.01569,-0.899,309.13,0.1
12.9,-26.756366,27.751526,1501.48,1501.88,0.0036,0.2062,309.13,0.1
13.0,-26.755912,27.750901,1502.86,1504.7,0.018239,1.045,309.13,0.1
13.1,-26.755459,27.750276,1505.13,1499.9,0.016607,0.9515,309.13,0.1
13.2,-26.755005,27.749652,1506.18,1510.1,-0.001752,-0.1004,309.13,0.1
13.3,-26.754551,27.749027,1504.78,1505.94,-0.019096,-1.0941,309.13,0.1
13.4,-26.754098,27.748403,1502.36,1499.83,-0.012188,-0.6983,309.13,0.1
13.5,-26.753644,27.747778,1502.34,1502.24,0.02231,1.2782,309.13,0.1
13.6,-26.75319,27.747153,1506.82,1509.01,0.058388,3.3454,309.13,0.1
13.7,-26.752736,27.746529,1514.03,1511.77,0.061026,3.4965,309.13,0.1
13.8,-26.752282,27.745904,1519.04,1517.69,0.018869,1.0811,309.13,0.1
13.9,-26.751829,27.74528,1517.8,1522.4,-0.039681,-2.2735,309.13,0.1
14.0,-26.751375,27.744655,1511.1,1510.03,-0.067713,-3.8797,309.13,0.1
14.1,-26.750921,27.74403,1504.24,1503.13,-0.046286,-2.652,309.13,0.1
14.2,-26.750468,27.743406,1501.84,1497.54,-0.003542,-0.203,309.13,0.1
14.3,-26.750014,27.742781,1503.53,1509.66,0.019215,1.1009,309.13,0.1
14.4,-26.74956,27.742157,1505.68,1504.38,0.014307,0.8197,309.13,0.1
14.5,-26.749106,27.741532,1506.39,1506.49,0.006837,0.3917,309.13,0.1
14.6,-26.748653,27.740907,1507.05,1505.63,0.013696,0.7847,309.13,0.1
14.7,-26.748199,27.740283,1509.13,1508.1,0.02176,1.2468,309.13,0.1
14.8,-26.747745,27.739658,1511.4,1514.25,0.010349,0.593,309.13,0.1
14.9,-26.747291,27.739034,1511.2,1509.82,-0.017783,-1.0189,309.13,0.1
15.0,-26.746838,27.738409,1507.85,1508.36,-0.036859,-2.1119,309.13,0.1
15.1,-26.746384,27.737784,1503.83,1504.09,-0.026003,-1.4899,309.13,0.1
15.2,-26.74593,27.73716,1502.65,1501.01,0.009028,0.5173,309.13,0.1
15.3,-26.745476,27.736535,1505.63,1507.06,0.041206,2.3609,309.13,0.1
15.4,-26.745022,27.73591,1510.89,1509.34,0.046447,2.6612,309.13,0.1
15.5,-26.744569,27.735286,1514.93,1518.56,0.021931,1.2565,309.13,0.1
15.6,-26.744115,27.734661,1515.28,1510.48,-0.014997,-0.8593,309.13,0.1
15.7,-26.743661,27.734037,1511.93,1514.85,-0.039968,-2.29,309.13,0.1
15.8,-26.743208,27.733412,1507.28,1507.55,-0.036103,-2.0685,309.13,0.1
15.9,-26.742754,27.732787,1504.71,1504.23,-0.005859,-0.3357,309.13,0.1
16.0,-26.7423,27.732163,1506.11,1505.43,0.026514,1.5191,309.13,0.1
16.1,-26.741846,27.731538,1510.01,1506.73,0.033813,1.9373,309.13,0.1
16.2,-26.741392,27.730914,1512.87,1521.11,0.014093,0.8075,309.13,0.1
16.3,-26.740939,27.730289,1512.83,1506.46,-0.007288,-0.4176,309.13,0.1
16.4,-26.740485,27.729664,1511.42,1514.86,-0.009003,-0.5158,309.13,0.1
16.5,-26.740031,27.72904,1511.03,1506.25,0.002034,0.1165,309.13,0.1
16.6,-26.739578,27.728415,1511.82,1515.53,0.00578,0.3312,309.13,0.1
16.7,-26.739124,27.727791,1512.19,1512.89,-0.001501,-0.086,309.13,0.1
16.8,-26.73867,27.727166,1511.52,1510.28,-0.00654,-0.3747,309.13,0.1
16.9,-26.738216,27.726541,1510.88,1510.96,-0.003775,-0.2163,309.13,0.1
17.0,-26.737763,27.725917,1510.77,1507.98,-0.003996,-0.229,309.13,0.1
17.1,-26.737309,27.725292,1510.08,1513.58,-0.013036,-0.7469,309.13,0.1
17.2,-26.736855,27.724668,1508.16,1509.17,-0.016496,-0.9451,309.13,0.1
17.3,-26.736401,27.724043,1506.78,1505.41,0.000324,0.0185,309.13,0.1
17.4,-26.735948,27.723418,1508.22,1505.24,0.025544,1.4636,309.13,0.1
17.5,-26.735494,27.722794,1511.89,1512.59,0.03225,1.8478,309.13,0.1
17.6,-26.73504,27.722169,1514.68,1519.71,0.015421,0.8836,309.13,0.1
17.7,-26.734586,27.721545,1514.97,1512.7,-0.002268,-0.1299,309.13,0.1
17.8,-26.734132,27.72092,1514.22,1511.4,-0.00449,-0.2573,309.12,0.1
17.9,-26.733679,27.720295,1514.08,1513.51,-0.000448,-0.0257,309.12,0.1
18.0,-26.733225,27.719671,1514.13,1518.69,-0.001759,-0.1008,309.12,0.1
18.1,-26.732771,27.719046,1513.72,1513.35,-0.001163,-0.0666,309.12,0.1
18.2,-26.732318,27.718422,1513.9,1510.28,0.009968,0.5711,309.12,0.1
18.3,-26.731864,27.717797,1515.72,1517.95,0.018156,1.0403,309.12,0.1
18.4,-26.73141,27.717172,1517.53,1514.64,0.003298,0.189,309.12,0.1
18.5,-26.730956,27.716548,1516.38,1520.26,-0.026262,-1.5047,309.12,0.1
18.6,-26.730502,27.715923,1512.28,1513.58,-0.035375,-2.0268,309.12,0.1
18.7,-26.730049,27.715298,1509.3,1506.62,-0.007036,-0.4031,309.12,0.1
18.8,-26.729595,27.714674,1510.87,1505.98,0.030467,1.7457,309.12,0.1
18.9,-26.729141,27.714049,1515.39,1521.15,0.036951,2.1171,309.12,0.1
19.0,-26.728688,27.713425,1518.27,1521.59,0.009879,0.566,309.12,0.1
19.1,-26.728234,27.7128,1517.37,1512.15,-0.018799,-1.0771,309.12,0.1
19.2,-26.72778,27.712175,1514.51,1511.21,-0.025726,-1.474,309.12,0.1
19.3,-26.727326,27.711551,1512.22,1520.5,-0.015127,-0.8667,309.12,0.1
19.4,-26.726873,27.710926,1511.48,1507.73,-0.001722,-0.0987,309.12,0.1
19.5,-26.726419,27.710302,1511.88,1508.87,0.005128,0.2938,309.12,0.1
19.6,-26.725965,27.709677,1512.51,1516.63,0.004083,0.2339,309.12,0.1
19.7,-26.725511,27.709052,1512.7,1511.51,0.001948,0.1116,309.12,0.1
19.8,-26.725058,27.708428,1512.89,1513.53,0.007366,0.422,309.12,0.1
19.9,-26.724604,27.707803,1514.17,1512.8,0.017508,1.0031,309.12,0.1
20.0,-26.72415,27.707179,1516.4,1515.38,0.017724,1.0155,309.12,0.1
20.1,-26.723696,27.706554,1517.71,1520.79,0.000566,0.0325,309.12,0.1
20.2,-26.723242,27.705929,1516.51,1514.27,-0.021458,-1.2295,309.12,0.1
20.3,-26.722789,27.705305,1513.42,1517.1,-0.029715,-1.7026,309.12,0.1
20.4,-26.722335,27.70468,1510.56,1503.7,-0.021349,-1.2232,309.12,0.1
20.5,-26.721881,27.704056,1509.15,1513.77,-0.008316,-0.4764,309.12,0.1
20.6,-26.721428,27.703431,1508.9,1509.85,0.001707,0.0978,309.12,0.1
20.7,-26.720974,27.702806,1509.49,1508.04,0.010841,0.6211,309.12,0.1
20.8,-26.72052,27.702182,1511.07,1509.8,0.01788,1.0244,309.12,0.1
20.9,-26.720066,27.701557,1513.07,1512.58,0.014644,0.839,309.12,0.1
21.0,-26.719612,27.700932,1514.0,1518.89,0.000482,0.0276,309.12,0.1
21.1,-26.719159,27.700308,1513.17,1507.73,-0.010855,-0.622,309.12,0.1
21.2,-26.718705,27.699683,1511.83,1514.57,-0.005577,-0.3196,309.12,0.1
21.3,-26.718251,27.699059,1512.05,1512.06,0.01378,0.7895,309.12,0.1
21.4,-26.717798,27.698434,1514.58,1512.89,0.029399,1.6844,309.12,0.1
21.5,-26.717344,27.697809,1517.93,1519.6,0.024472,1.4021,309.12,0.1
21.6,-26.71689,27.697185,1519.48,1517.33,0.000193,0.011,309.12,0.1
21.7,-26.716436,27.69656,1517.97,1521.38,-0.022479,-1.288,309.12,0.1
21.8,-26.715983,27.695936,1514.98,1513.97,-0.023056,-1.321,309.12,0.1
21.9,-26.715529,27.695311,1513.36,1511.31,-0.005401,-0.3095,309.12,0.1
22.0,-26.715075,27.694686,1513.9,1513.72,0.006018,0.3448,309.12,0.1
22.1,-26.714621,27.694062,1514.56,1516.1,-0.001598,-0.0915,309.12,0.1
22.2,-26.714168,27.693437,1513.58,1515.82,-0.01023,-0.5861,309.12,0.1
22.3,-26.713714,27.692813,1512.52,1509.56,0.004613,0.2643,309.12,0.1
22.4,-26.71326,27.692188,1514.51,1515.48,0.035702,2.0456,309.12,0.1
22.5,-26.712806,27.691563,1519.66,1516.21,0.046122,2.6426,309.12,0.1
22.6,-26.712352,27.690939,1523.74,1527.7,0.013925,0.7979,309.12,0.1
22.7,-26.711899,27.690314,1522.44,1524.54,-0.037103,-2.1258,309.12,0.1
22.8,-26.711445,27.68969,1516.31,1510.93,-0.060345,-3.4575,309.12,0.1
22.9,-26.710991,27.689065,1510.36,1513.8,-0.03558,-2.0386,309.12,0.1
23.0,-26.710538,27.68844,1509.19,1507.96,0.012587,0.7212,309.12,0.1
23.1,-26.710084,27.687816,1512.88,1512.36,0.04042,2.3159,309.12,0.1
23.2,-26.70963,27.687191,1517.28,1516.93,0.026055,1.4928,309.12,0.1
23.3,-26.709176,27.686567,1518.09,1521.42,-0.012826,-0.7349,309.12,0.1
23.4,-26.708722,27.685942,1514.72,1511.78,-0.038356,-2.1976,309.12,0.1
23.5,-26.708269,27.685317,1510.42,1512.19,-0.030087,-1.7239,309.12,0.1
23.6,-26.707815,27.684693,1508.7,1504.76,-0.001837,-0.1053,309.12,0.1
23.7,-26.707361,27.684068,1510.05,1514.72,0.017609,1.0089,309.12,0.1
23.8,-26.706908,27.683444,1512.22,1510.25,0.014627,0.838,309.12,0.1
23.9,-26.706454,27.682819,1512.97,1512.95,-0.000679,-0.0389,309.12,0.1
24.0,-26.706,27.682194,1512.08,1511.24,-0.009506,-0.5447,309.12,0.1
24.1,-26.705546,27.68157,1511.07,1515.18,-0.003748,-0.2147,309.12,0.1
24.2,-26.705093,27.680945,1511.33,1506.89,0.007506,0.4301,309.12,0.1
24.3,-26.704639,27.68032,1512.57,1508.38,0.011837,0.6782,309.12,0.1
24.4,-26.704185,27.679696,1513.7,1526.38,0.012447,0.7131,309.12,0.1
24.5,-26.703731,27.679071,1515.06,1509.33,0.020481,1.1735,309.12,0.1
24.6,-26.703278,27.678447,1517.8,1510.31,0.028475,1.6315,309.12,0.1
24.7,-26.702824,27.677822,1520.76,1525.0,0.016346,0.9365,309.12,0.1
24.8,-26.70237,27.677197,1521.07,1530.36,-0.011118,-0.637,309.12,0.1
24.9,-26.701916,27.676573,1518.54,1510.0,-0.023654,-1.3553,309.12,0.1
25.0,-26.701462,27.675948,1516.34,1514.04,-0.010901,-0.6246,309.12,0.1
25.1,-26.701009,27.675324,1516.36,1517.61,0.003746,0.2146,309.12,0.1
25.2,-26.700555,27.674699,1517.09,1524.57,0.003033,0.1738,309.12,0.1
25.3,-26.700101,27.674074,1516.96,1511.01,-0.001911,-0.1095,309.12,0.1
25.4,-26.699648,27.67345,1516.7,1514.74,0.000835,0.0478,309.12,0.1
25.5,-26.699194,27.672825,1517.13,1519.87,0.002554,0.1463,309.12,0.1
25.6,-26.69874,27.672201,1517.21,1518.17,-0.006904,-0.3956,309.12,0.1
25.7,-26.698286,27.671576,1515.75,1514.13,-0.018581,-1.0646,309.12,0.1
25.8,-26.697832,27.670951,1513.5,1515.36,-0.0169,-0.9683,309.12,0.1
25.9,-26.697379,27.670327,1512.37,1509.17,-0.002187,-0.1253,309.12,0.1
26.0,-26.696925,27.669702,1513.06,1514.87,0.01085,0.6216,309.12,0.1
26.1,-26.696471,27.669078,1514.54,1514.74,0.013267,0.7601,309.12,0.1
26.2,-26.696018,27.668453,1515.71,1517.24,0.010431,0.5976,309.12,0.1
26.3,-26.695564,27.667828,1516.62,1513.31,0.009876,0.5659,309.12,0.1
26.4,-26.69511,27.667204,1517.69,1518.46,0.010163,0.5823,309.12,0.1
26.5,-26.694656,27.666579,1518.66,1521.17,0.006053,0.3468,309.12,0.1
26.6,-26.694203,27.665954,1518.9,1516.9,-0.002706,-0.1551,309.12,0.1
26.7,-26.693749,27.66533,1518.12,1517.88,-0.01231,-0.7053,309.12,0.1
26.8,-26.693295,27.664705,1516.44,1516.4,-0.018029,-1.033,309.11,0.1
26.9,-26.692841,27.664081,1514.51,1516.14,-0.013087,-0.7498,309.11,0.1
27.0,-26.692388,27.663456,1513.82,1512.53,0.00699,0.4005,309.11,0.1
27.1,-26.691934,27.662831,1515.91,1517.73,0.032247,1.8476,309.11,0.1
27.2,-26.69148,27.662207,1520.27,1515.66,0.03843,2.2019,309.11,0.1
27.3,-26.691026,27.661582,1523.6,1526.62,0.01166,0.6681,309.11,0.1
27.4,-26.690572,27.660958,1522.6,1524.02,-0.028143,-1.6125,309.11,0.1
27.5,-26.690119,27.660333,1517.97,1518.08,-0.042495,-2.4348,309.11,0.1
27.6,-26.689665,27.659708,1514.1,1512.34,-0.018896,-1.0827,309.11,0.1
27.7,-26.689211,27.659084,1514.19,1510.59,0.012968,0.743,309.11,0.1
27.8,-26.688758,27.658459,1516.69,1522.11,0.018673,1.0699,309.11,0.1
27.9,-26.688304,27.657835,1517.92,1517.46,0.000818,0.0469,309.11,0.1
28.0,-26.68785,27.65721,1516.86,1518.54,-0.012182,-0.698,309.11,0.1
28.1,-26.687396,27.656585,1515.49,1507.42,-0.00838,-0.4801,309.11,0.1
28.2,-26.686942,27.655961,1515.18,1520.77,-0.001327,-0.076,309.11,0.1
28.3,-26.686489,27.655336,1515.22,1518.4,-0.001225,-0.0702,309.11,0.1
28.4,-26.686035,27.654712,1514.94,1510.57,-0.001816,-0.1041,309.11,0.1
28.5,-26.685581,27.654087,1514.86,1513.76,0.001581,0.0906,309.11,0.1
28.6,-26.685128,27.653462,1515.25,1517.42,0.003057,0.1751,309.11,0.1
28.7,-26.684674,27.652838,1515.47,1516.36,0.000624,0.0357,309.11,0.1
28.8,-26.68422,27.652213,1515.38,1514.62,0.001658,0.095,309.11,0.1
28.9,-26.683766,27.651589,1515.8,1515.56,0.006976,0.3997,309.11,0.1
29.0,-26.683312,27.650964,1516.77,1514.8,0.004848,0.2778,309.11,0.1
29.1,-26.682859,27.650339,1516.77,1516.81,-0.008958,-0.5132,309.11,0.1
29.2,-26.682405,27.649715,1514.98,1523.39,-0.018071,-1.0354,309.11,0.1
29.3,-26.681951,27.64909,1513.16,1503.19,-0.007829,-0.4486,309.11,0.1
29.4,-26.681498,27.648466,1513.41,1514.82,0.009043,0.5181,309.11,0.1
29.5,-26.681044,27.647841,1514.96,1516.87,0.009227,0.5287,309.11,0.1
29.6,-26.68059,27.647216,1515.26,1517.45,-0.004803,-0.2752,309.11,0.1
29.7,-26.680136,27.646592,1514.0,1514.1,-0.008728,-0.5001,309.11,0.1
29.8,-26.679683,27.645967,1513.51,1507.15,0.005175,0.2965,309.11,0.1
29.9,-26.679229,27.645342,1515.04,1517.56,0.017693,1.0138,309.11,0.1
30.0,-26.678775,27.644718,1517.05,1524.54,0.013,0.7448,309.11,0.1
30.1,-26.678321,27.644093,1517.64,1508.21,-0.002459,-0.1409,309.11,0.1
30.2,-26.677868,27.643469,1516.56,1520.17,-0.01476,-0.8457,309.11,0.1
30.3,-26.677414,27.642844,1514.69,1514.19,-0.017302,-0.9913,309.11,0.1
30.4,-26.67696,27.642219,1513.1,1515.5,-0.008113,-0.4648,309.11,0.1
30.5,-26.676506,27.641595,1513.06,1510.52,0.010903,0.6247,309.11,0.1
30.6,-26.676052,27.64097,1515.28,1514.09,0.028613,1.6394,309.11,0.1
30.7,-26.675599,27.640346,1518.79,1522.24,0.031073,1.7804,309.11,0.1
30.8,-26.675145,27.639721,1521.5,1518.62,0.017114,0.9805,309.11,0.1
30.9,-26.674691,27.639096,1522.21,1524.34,0.000507,0.0291,309.11,0.1
31.0,-26.674238,27.638472,1521.6,1521.54,-0.006051,-0.3467,309.11,0.1
31.1,-26.673784,27.637847,1521.0,1517.82,-0.004575,-0.2621,309.11,0.1
31.2,-26.67333,27.637223,1520.68,1524.31,-0.006039,-0.346,309.11,0.1
31.3,-26.672876,27.636598,1519.79,1517.76,-0.014092,-0.8074,309.11,0.1
31.4,-26.672422,27.635973,1517.87,1519.67,-0.020248,-1.1601,309.11,0.1
31.5,-26.671969,27.635349,1515.74,1514.02,-0.016136,-0.9245,309.11,0.1
31.6,-26.671515,27.634724,1514.64,1515.8,-0.005197,-0.2978,309.11,0.1
